touch_id,inquiry_id,touch_timestamp,channel,platform,campaign_id,campaign_name,ad_group,keyword,search_term,match_type,landing_page,geography,cost,platform_conversion,source_system,evidence_class
TOUCH-000001,INQ-000001,2026-05-09T07:53:41,Direct,,,,,,,,https://harborridge.example.test/,UT,,1,Direct / Analytics,System-Observed
TOUCH-000002,INQ-000002,2026-05-03T20:11:21,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Residential Programs,detox center near me,detox center near me,Exact,https://harborridge.example.test/admissions,OR,24.18,1,Google Ads,System-Observed
TOUCH-000003,INQ-000004,2026-05-18T09:27:48,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,detox center near me,detox center near me,Broad,https://harborridge.example.test/admissions,WA,41.8,1,Google Ads,System-Observed
TOUCH-000004,INQ-000005,2026-05-23T16:53:39,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Family Support,family intervention help,family intervention help,Phrase,https://harborridge.example.test/admissions,CA,27.88,1,Google Ads,System-Observed
TOUCH-000005,INQ-000006,2026-05-06T19:17:06,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Detox Programs,detox center near me,detox center near me,Exact,https://harborridge.example.test/admissions,FL,36.24,1,Google Ads,System-Observed
TOUCH-000006,INQ-000007,2026-05-05T17:56:12,Paid Social,Meta,CMP-3003,Local Community Awareness,Community Awareness,,,,https://harborridge.example.test/family-support,TX,12.47,1,Meta,System-Observed
TOUCH-000007,INQ-000008,2026-05-14T10:02:37,Paid Social,Meta,CMP-3002,Recovery Journey - Lookalike,Family Support,,,,https://harborridge.example.test/family-support,AZ,14.6,1,Meta,System-Observed
TOUCH-000008,INQ-000012,2026-05-09T12:19:52,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Admissions,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,CA,26.27,1,Google Ads,System-Observed
TOUCH-000009,INQ-000013,2026-05-06T07:07:47,Local,GBP,,,,,,,https://harborridge.example.test/contact,WA,,1,GBP,System-Observed
TOUCH-000010,INQ-000016,2026-05-20T10:46:38,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CO,,1,Google Organic,System-Observed
TOUCH-000011,INQ-000017,2026-05-22T20:12:52,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Admissions,family intervention help,family intervention help,Exact,https://harborridge.example.test/admissions,CA,11.4,1,Microsoft Ads,System-Observed
TOUCH-000012,INQ-000018,2026-05-09T13:19:11,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,TX,,1,Google Organic,System-Observed
TOUCH-000013,INQ-000020,2026-05-12T10:38:41,Direct,,,,,,,,https://harborridge.example.test/,CO,,1,Direct / Analytics,System-Observed
TOUCH-000014,INQ-000021,2026-05-10T08:06:56,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Family Support,inpatient mental health treatment,inpatient mental health treatment,Exact,https://harborridge.example.test/admissions,NV,15.17,1,Google Ads,System-Observed
