activity_id,professional_account_id,outreach_rep_id,activity_timestamp,activity_type,direction,reciprocated_flag,evidence_class
ACT-000001,PRO-000001,REP-000004,2026-05-16T11:09:01,Presentation,Outbound,1,Human-Entered
ACT-000002,PRO-000001,REP-000003,2026-06-14T13:34:45,Presentation,Outbound,1,Human-Entered
ACT-000003,PRO-000001,REP-000003,2026-07-15T12:28:57,Call,Outbound,1,Human-Entered
ACT-000004,PRO-000002,REP-000004,2026-07-08T17:12:38,Email,Inbound,0,System-Observed
ACT-000005,PRO-000002,REP-000002,2026-07-16T10:18:23,Email,Inbound,0,System-Observed
ACT-000006,PRO-000002,REP-000004,2026-05-04T10:39:27,Meeting,Outbound,1,Human-Entered
ACT-000007,PRO-000002,REP-000002,2026-05-03T14:21:55,Tour,Outbound,1,Human-Entered
ACT-000008,PRO-000002,REP-000002,2026-07-04T08:21:52,Email,Outbound,1,System-Observed
ACT-000009,PRO-000002,REP-000002,2026-07-17T15:43:02,Lunch,Inbound,1,Human-Entered
ACT-000010,PRO-000002,REP-000002,2026-07-20T15:08:06,Tour,Outbound,1,Human-Entered
ACT-000011,PRO-000002,REP-000003,2026-07-06T18:43:05,Tour,Inbound,0,Human-Entered
ACT-000012,PRO-000003,REP-000004,2026-07-02T08:47:31,Tour,Outbound,1,Human-Entered
ACT-000013,PRO-000003,REP-000004,2026-06-07T13:39:20,Tour,Outbound,1,Human-Entered
ACT-000014,PRO-000003,REP-000002,2026-07-18T09:10:23,Tour,Outbound,1,Human-Entered
ACT-000015,PRO-000003,REP-000004,2026-05-22T08:16:10,Lunch,Outbound,1,Human-Entered
ACT-000016,PRO-000003,REP-000004,2026-06-09T15:45:37,Meeting,Inbound,0,Human-Entered
ACT-000017,PRO-000004,REP-000001,2026-05-23T18:59:45,Email,Outbound,1,System-Observed
ACT-000018,PRO-000004,REP-000001,2026-07-24T13:18:27,Email,Outbound,0,System-Observed
ACT-000019,PRO-000004,REP-000001,2026-05-06T10:57:20,Presentation,Outbound,1,Human-Entered
ACT-000020,PRO-000004,REP-000002,2026-05-05T07:14:36,Presentation,Inbound,0,Human-Entered
ACT-000021,PRO-000004,REP-000001,2026-06-03T10:50:18,Tour,Outbound,1,Human-Entered
ACT-000022,PRO-000004,REP-000001,2026-07-07T11:26:00,Call,Outbound,1,Human-Entered
