referral_id,professional_account_id,opportunity_id,referral_timestamp,referral_channel,source_system,evidence_class,attribution_confidence
REF-000001,PRO-000024,HRO-000003,2026-05-19T01:27:32,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000002,PRO-000014,HRO-000009,2026-05-06T01:41:00,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000003,PRO-000033,HRO-000012,2026-05-03T21:47:30,Call,CRM,Human-Entered,Confirmed
REF-000004,PRO-000007,HRO-000013,2026-05-13T20:43:04,Call,CRM,Human-Entered,Confirmed
REF-000005,PRO-000007,HRO-000021,2026-05-14T09:56:06,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000006,PRO-000009,HRO-000025,2026-05-19T02:10:30,Other,CRM,Human-Entered,Confirmed
REF-000007,PRO-000031,HRO-000028,2026-05-10T23:24:56,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000008,PRO-000013,HRO-000029,2026-05-24T10:16:26,Call,CRM,System-Observed,Confirmed
REF-000009,PRO-000027,HRO-000033,2026-05-05T10:01:12,Email/Text Coordination,CRM,System-Observed,Probable
REF-000010,PRO-000020,HRO-000035,2026-05-18T03:41:14,Other,CRM,System-Observed,Confirmed
REF-000011,PRO-000002,HRO-000036,2026-05-22T04:36:21,Email/Text Coordination,CRM,System-Observed,Confirmed
REF-000012,PRO-000035,HRO-000039,2026-05-13T18:11:06,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000013,PRO-000002,HRO-000040,2026-05-01T18:19:56,Other,CRM,System-Observed,Confirmed
REF-000014,PRO-000016,HRO-000044,2026-05-03T15:45:45,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000015,PRO-000033,HRO-000045,2026-05-24T17:52:16,Call,CRM,Human-Entered,Confirmed
REF-000016,PRO-000013,HRO-000057,2026-05-08T09:48:41,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000017,PRO-000025,HRO-000058,2026-05-05T10:52:14,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000018,PRO-000002,HRO-000065,2026-05-13T11:31:00,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000019,PRO-000013,HRO-000066,2026-05-07T12:44:20,Other,CRM,System-Observed,Probable
REF-000020,PRO-000004,HRO-000070,2026-05-19T21:55:42,Other,CRM,Human-Entered,Confirmed
REF-000021,PRO-000003,HRO-000077,2026-05-15T06:32:01,Email/Text Coordination,CRM,Human-Entered,Probable
REF-000022,PRO-000027,HRO-000083,2026-05-03T15:42:22,Other,CRM,Human-Entered,Confirmed
REF-000023,PRO-000012,HRO-000087,2026-05-12T00:56:24,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000024,PRO-000013,HRO-000090,2026-05-24T13:38:27,Patient Told to Call,CRM,Human-Entered,Confirmed
