touch_id,inquiry_id,touch_timestamp,channel,platform,campaign_id,campaign_name,ad_group,keyword,search_term,match_type,landing_page,geography,cost,platform_conversion,source_system,evidence_class
TOUCH-000001,INQ-000001,2026-05-09T15:07:35,Paid Search,Google Ads,CMP-1005,Family Crisis - Non-Brand,Admissions,residential treatment center,residential treatment center,Phrase,https://harborridge.example.test/admissions,AZ,24.22,1,Google Ads,System-Observed
TOUCH-000002,INQ-000003,2026-05-23T15:51:01,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,family intervention help,family intervention help,Phrase,https://harborridge.example.test/admissions,TX,21.18,1,Google Ads,System-Observed
TOUCH-000003,INQ-000004,2026-05-15T06:22:06,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,CA,,1,Google Organic,System-Observed
TOUCH-000004,INQ-000005,2026-05-27T19:03:59,Direct,,,,,,,,https://harborridge.example.test/,UT,,1,Direct / Analytics,System-Observed
TOUCH-000005,INQ-000006,2026-05-01T16:14:23,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Detox Programs,behavioral health treatment near me,behavioral health treatment near me,Phrase,https://harborridge.example.test/admissions,CA,18.5,1,Microsoft Ads,System-Observed
TOUCH-000006,INQ-000007,2026-05-22T09:46:33,Local,GBP,,,,,,,https://harborridge.example.test/contact,AZ,,1,GBP,System-Observed
TOUCH-000007,INQ-000009,2026-05-10T09:41:55,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Detox Programs,residential treatment center,residential treatment center,Broad,https://harborridge.example.test/admissions,NV,16.38,1,Google Ads,System-Observed
TOUCH-000008,INQ-000012,2026-05-14T17:06:54,Paid Search,Google Ads,CMP-1003,Detox Near Me - Geo,Detox Programs,family intervention help,family intervention help,Exact,https://harborridge.example.test/admissions,UT,36.1,1,Google Ads,System-Observed
TOUCH-000009,INQ-000014,2026-05-12T12:38:31,Direct,,,,,,,,https://harborridge.example.test/,FL,,1,Direct / Analytics,System-Observed
TOUCH-000010,INQ-000017,2026-05-07T16:13:49,Paid Search,Microsoft Ads,CMP-2002,Residential Treatment - Geo (Bing),Detox Programs,substance abuse treatment options,substance abuse treatment options,Phrase,https://harborridge.example.test/admissions,NV,16.32,1,Microsoft Ads,System-Observed
TOUCH-000011,INQ-000020,2026-05-24T13:45:32,Direct,,,,,,,,https://harborridge.example.test/,WA,,1,Direct / Analytics,System-Observed
TOUCH-000012,INQ-000022,2026-05-03T14:18:43,Organic,Google Organic,,,,,,,https://harborridge.example.test/treatment-programs,NV,,1,Google Organic,System-Observed
TOUCH-000013,INQ-000025,2026-05-01T15:27:34,Direct,,,,,,,,https://harborridge.example.test/,UT,,1,Direct / Analytics,System-Observed
TOUCH-000014,INQ-000026,2026-05-25T18:22:33,Local,GBP,,,,,,,https://harborridge.example.test/contact,CO,,1,GBP,System-Observed
TOUCH-000015,INQ-000027,2026-05-05T17:54:28,Paid Social,Meta,CMP-3002,Recovery Journey - Lookalike,Family Support,,,,https://harborridge.example.test/family-support,NV,7.17,1,Meta,System-Observed
TOUCH-000016,INQ-000029,2026-05-07T06:52:49,Paid Search,Google Ads,CMP-1001,Behavioral Health - Brand,Detox Programs,family intervention help,family intervention help,Broad,https://harborridge.example.test/admissions,WA,21.66,1,Google Ads,System-Observed
TOUCH-000017,INQ-000031,2026-05-16T15:58:39,Paid Search,Google Ads,CMP-1002,Behavioral Health - Non-Brand,Residential Programs,detox center near me,detox center near me,Exact,https://harborridge.example.test/admissions,FL,42.46,1,Google Ads,System-Observed
TOUCH-000018,INQ-000032,2026-05-08T06:14:35,Paid Search,Microsoft Ads,CMP-2001,Behavioral Health - Brand (Bing),Residential Programs,family intervention help,family intervention help,Phrase,https://harborridge.example.test/admissions,FL,10.78,1,Microsoft Ads,System-Observed
TOUCH-000019,INQ-000033,2026-05-18T12:12:21,Paid Search,Google Ads,CMP-1004,Residential Treatment - Geo,Family Support,family intervention help,family intervention help,Phrase,https://harborridge.example.test/admissions,FL,15.2,1,Google Ads,System-Observed
