activity_id,professional_account_id,outreach_rep_id,activity_timestamp,activity_type,direction,reciprocated_flag,evidence_class
ACT-000001,PRO-000001,REP-000001,2026-06-10T15:14:14,Meeting,Outbound,1,Human-Entered
ACT-000002,PRO-000001,REP-000001,2026-07-24T12:45:24,Email,Outbound,1,System-Observed
ACT-000003,PRO-000001,REP-000001,2026-05-30T15:56:21,Meeting,Outbound,0,Human-Entered
ACT-000004,PRO-000001,REP-000001,2026-05-11T12:57:07,Presentation,Inbound,1,Human-Entered
ACT-000005,PRO-000001,REP-000004,2026-07-18T15:13:01,Tour,Outbound,1,Human-Entered
ACT-000006,PRO-000001,REP-000002,2026-07-12T20:39:45,Email,Outbound,1,System-Observed
ACT-000007,PRO-000001,REP-000001,2026-06-09T11:33:02,Lunch,Inbound,1,Human-Entered
ACT-000008,PRO-000002,REP-000001,2026-07-29T19:27:33,Meeting,Inbound,1,Human-Entered
ACT-000009,PRO-000002,REP-000003,2026-05-29T20:23:50,Lunch,Outbound,1,Human-Entered
ACT-000010,PRO-000002,REP-000003,2026-06-06T18:11:36,Tour,Outbound,1,Human-Entered
ACT-000011,PRO-000002,REP-000002,2026-07-12T20:56:19,Tour,Outbound,1,Human-Entered
ACT-000012,PRO-000002,REP-000001,2026-06-04T15:00:59,Email,Inbound,1,System-Observed
ACT-000013,PRO-000002,REP-000001,2026-07-09T08:52:36,Email,Inbound,1,System-Observed
ACT-000014,PRO-000003,REP-000004,2026-05-23T09:26:42,Call,Outbound,1,Human-Entered
ACT-000015,PRO-000003,REP-000004,2026-05-22T10:46:53,Lunch,Outbound,0,Human-Entered
ACT-000016,PRO-000003,REP-000004,2026-05-28T08:54:42,Tour,Outbound,1,Human-Entered
ACT-000017,PRO-000003,REP-000004,2026-07-27T16:19:22,Lunch,Outbound,1,Human-Entered
ACT-000018,PRO-000003,REP-000001,2026-06-30T08:07:24,Call,Outbound,1,Human-Entered
ACT-000019,PRO-000003,REP-000004,2026-07-01T07:57:53,Meeting,Outbound,1,Human-Entered
ACT-000020,PRO-000003,REP-000004,2026-05-28T09:26:57,Call,Inbound,0,Human-Entered
ACT-000021,PRO-000003,REP-000004,2026-07-09T10:56:42,Tour,Outbound,0,Human-Entered
ACT-000022,PRO-000004,REP-000002,2026-07-03T16:00:04,Call,Inbound,1,Human-Entered
ACT-000023,PRO-000004,REP-000002,2026-06-13T12:54:57,Lunch,Inbound,0,Human-Entered
ACT-000024,PRO-000004,REP-000002,2026-07-26T14:36:14,Meeting,Outbound,1,Human-Entered
ACT-000025,PRO-000005,REP-000002,2026-07-22T07:02:35,Email,Outbound,0,System-Observed
ACT-000026,PRO-000005,REP-000002,2026-07-17T11:02:31,Email,Outbound,1,System-Observed
ACT-000027,PRO-000005,REP-000002,2026-06-09T07:56:11,Lunch,Outbound,1,Human-Entered
ACT-000028,PRO-000005,REP-000002,2026-06-08T11:57:17,Lunch,Inbound,1,Human-Entered
ACT-000029,PRO-000005,REP-000004,2026-05-22T15:14:46,Email,Outbound,1,System-Observed
ACT-000030,PRO-000005,REP-000002,2026-05-18T18:37:00,Meeting,Outbound,1,Human-Entered
ACT-000031,PRO-000005,REP-000002,2026-07-06T14:15:23,Tour,Outbound,0,Human-Entered
ACT-000032,PRO-000005,REP-000002,2026-06-19T11:07:37,Meeting,Outbound,0,Human-Entered
ACT-000033,PRO-000006,REP-000003,2026-07-31T19:10:29,Call,Outbound,0,Human-Entered
ACT-000034,PRO-000006,REP-000004,2026-07-06T18:06:57,Call,Outbound,1,Human-Entered
ACT-000035,PRO-000006,REP-000004,2026-06-11T18:31:05,Tour,Outbound,1,Human-Entered
ACT-000036,PRO-000006,REP-000004,2026-06-04T17:00:19,Tour,Inbound,1,Human-Entered
ACT-000037,PRO-000006,REP-000004,2026-07-13T13:18:50,Call,Outbound,1,Human-Entered
ACT-000038,PRO-000006,REP-000004,2026-05-03T15:13:14,Tour,Outbound,1,Human-Entered
ACT-000039,PRO-000007,REP-000004,2026-07-31T12:02:26,Lunch,Outbound,0,Human-Entered
ACT-000040,PRO-000007,REP-000004,2026-06-03T08:12:43,Email,Outbound,1,System-Observed
ACT-000041,PRO-000007,REP-000004,2026-06-25T14:21:53,Tour,Inbound,1,Human-Entered
ACT-000042,PRO-000007,REP-000004,2026-07-01T16:50:25,Call,Outbound,1,Human-Entered
ACT-000043,PRO-000008,REP-000004,2026-06-25T14:07:49,Lunch,Inbound,1,Human-Entered
ACT-000044,PRO-000008,REP-000004,2026-05-26T16:32:33,Lunch,Outbound,1,Human-Entered
ACT-000045,PRO-000008,REP-000004,2026-07-05T08:42:04,Lunch,Outbound,1,Human-Entered
ACT-000046,PRO-000008,REP-000004,2026-05-16T07:25:42,Meeting,Outbound,1,Human-Entered
ACT-000047,PRO-000008,REP-000004,2026-05-23T18:30:10,Presentation,Inbound,1,Human-Entered
ACT-000048,PRO-000008,REP-000002,2026-05-16T12:04:02,Email,Outbound,0,System-Observed
