referral_id,professional_account_id,opportunity_id,referral_timestamp,referral_channel,source_system,evidence_class,attribution_confidence
REF-000001,PRO-000038,HRO-000002,2026-05-11T02:10:17,Call,CRM,Human-Entered,Probable
REF-000002,PRO-000016,HRO-000009,2026-05-04T08:06:32,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000003,PRO-000003,HRO-000011,2026-05-05T20:21:20,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000004,PRO-000037,HRO-000013,2026-05-19T23:56:13,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000005,PRO-000004,HRO-000014,2026-05-10T09:37:29,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000006,PRO-000001,HRO-000017,2026-05-10T04:55:06,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000007,PRO-000039,HRO-000019,2026-05-13T15:24:08,Call,CRM,Human-Entered,Probable
REF-000008,PRO-000018,HRO-000023,2026-05-21T21:17:26,Call,CRM,Human-Entered,Confirmed
REF-000009,PRO-000006,HRO-000037,2026-05-21T18:43:57,Call,CRM,Human-Entered,Confirmed
REF-000010,PRO-000019,HRO-000038,2026-05-02T12:41:37,Patient Told to Call,CRM,Human-Entered,Probable
REF-000011,PRO-000021,HRO-000051,2026-05-21T14:45:32,Email/Text Coordination,CRM,System-Observed,Probable
REF-000012,PRO-000031,HRO-000052,2026-05-26T08:20:24,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000013,PRO-000008,HRO-000062,2026-05-08T18:14:12,Patient Told to Call,CRM,System-Observed,Confirmed
REF-000014,PRO-000005,HRO-000074,2026-05-02T20:32:45,Other,CRM,System-Observed,Confirmed
REF-000015,PRO-000040,HRO-000082,2026-05-24T11:47:52,Email/Text Coordination,CRM,Human-Entered,Confirmed
REF-000016,PRO-000036,HRO-000083,2026-05-06T09:23:46,Other,CRM,System-Observed,Confirmed
REF-000017,PRO-000007,HRO-000084,2026-05-25T07:14:25,Other,CRM,Human-Entered,Confirmed
REF-000018,PRO-000030,HRO-000086,2026-04-30T18:12:35,Other,CRM,Human-Entered,Confirmed
REF-000019,PRO-000029,HRO-000092,2026-05-07T12:35:36,Call,CRM,System-Observed,Confirmed
REF-000020,PRO-000040,HRO-000101,2026-04-30T17:47:50,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000021,PRO-000040,HRO-000106,2026-05-03T01:49:51,Call,CRM,Human-Entered,Confirmed
REF-000022,PRO-000039,HRO-000109,2026-05-25T13:59:32,Call,CRM,System-Observed,Possible
REF-000023,PRO-000034,HRO-000112,2026-05-04T07:01:24,Other,CRM,Human-Entered,Confirmed
REF-000024,PRO-000040,HRO-000123,2026-05-13T18:05:07,Other,CRM,System-Observed,Confirmed
REF-000025,PRO-000034,HRO-000124,2026-05-25T22:11:11,Call,CRM,Human-Entered,Confirmed
REF-000026,PRO-000029,HRO-000149,2026-04-29T23:27:58,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000027,PRO-000019,HRO-000163,2026-05-14T09:59:28,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000028,PRO-000033,HRO-000164,2026-05-20T01:43:48,Call,CRM,System-Observed,Confirmed
REF-000029,PRO-000040,HRO-000167,2026-05-03T02:33:04,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000030,PRO-000034,HRO-000174,2026-05-07T04:45:12,Patient Told to Call,CRM,Human-Entered,Confirmed
REF-000031,PRO-000024,HRO-000177,2026-05-17T20:46:03,Other,CRM,System-Observed,Confirmed
REF-000032,PRO-000005,,2026-07-20T15:11:25,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000033,PRO-000003,,2026-06-14T09:26:03,Email/Text Coordination,CRM,Human-Entered,Possible
REF-000034,PRO-000033,,2026-06-17T20:59:11,Other,CRM,Human-Entered,Possible
REF-000035,PRO-000026,,2026-06-15T08:38:11,Other,CRM,System-Observed,Possible
REF-000036,PRO-000008,HRO-000179,2026-05-31T11:00:05,Email/Text Coordination,CRM,Human-Entered,Confirmed
